"alpha","beta","growth_change","labor_share_change"
0.2,0.2,-1.5509407170749,-10.7714572655347
0.25,0.2,-1.22282062984938,-9.60745508502219
0.3,0.2,-1.00319488817891,-8.90675718180521
0.35,0.2,-0.845497420577293,-8.44455791204717
0.4,0.2,-0.726437699680512,-8.12178703226196
0.45,0.2,-0.633068810333574,-7.88805644811957
0.5,0.2,-0.557614483493078,-7.71509519950614
0.55,0.2,-0.495117529820626,-7.58587934524393
0.6,0.2,-0.442263806481059,-7.48961071824294
0.65,0.2,-0.396748677898838,-7.41917772050181
0.7,0.2,-0.356914650844363,-7.36977866804201
0.75,0.2,-0.321533546325879,-7.33813410841374
0.8,0.2,-0.289669861554846,-7.3220176564557
0.85,0.2,-0.260591748854008,-7.31996931964605
0.2,0.25,-1.45400692225772,-10.3079907364118
0.25,0.25,-1.1463943404838,-9.25319527693615
0.3,0.25,-0.940495207667732,-8.61427852154043
0.35,0.25,-0.792653831791212,-8.19121384028565
0.4,0.25,-0.68103534345048,-7.89502736634589
0.45,0.25,-0.593502009687725,-7.68018555252804
0.5,0.25,-0.522763578274761,-7.52102847171003
0.55,0.25,-0.464172684206837,-7.40205394545259
0.6,0.25,-0.414622318575993,-7.3134047206694
0.65,0.25,-0.37195188553016,-7.24857674423052
0.7,0.25,-0.33460748516659,-7.20317256939271
0.75,0.25,-0.301437699680511,-7.17418622075693
0.8,0.25,-0.271565495207668,-7.15957636955593
0.85,0.25,-0.244304764550632,-7.15800514102808
0.2,0.3,-1.35707312744054,-9.86054777767992
0.25,0.3,-1.06996805111821,-8.90849457938795
0.3,0.3,-0.87779552715655,-8.32832274503953
0.35,0.3,-0.739810243005131,-7.94271838156891
0.4,0.3,-0.635632987220448,-7.67209258205275
0.45,0.3,-0.553935209041877,-7.47546747620848
0.5,0.3,-0.487912673056443,-7.32965044507964
0.55,0.3,-0.433227838593048,-7.22058484915296
0.6,0.3,-0.386980830670926,-7.13931082871361
0.65,0.3,-0.347155093161483,-7.07990557475912
0.7,0.3,-0.312300319488817,-7.0383592740615
0.75,0.3,-0.281341853035143,-7.01192860295752
0.8,0.3,-0.25346112886049,-6.9987500847255
0.85,0.3,-0.228017780247257,-6.99760313925124
0.2,0.35,-1.26013933262336,-9.42831152841356
0.25,0.35,-0.993541761752625,-8.57297123788094
0.3,0.35,-0.815095846645368,-8.04867404789032
0.35,0.35,-0.686966654219051,-7.69893366282238
0.4,0.35,-0.590230630990415,-7.45288671411831
0.45,0.35,-0.514368408396029,-7.27383102987524
0.5,0.35,-0.453061767838125,-7.14090562802753
0.55,0.35,-0.402282992979259,-7.0414270396459
0.6,0.35,-0.35933934276586,-6.96729129326233
0.65,0.35,-0.322358300792805,-6.91313165181725
0.7,0.35,-0.289993153811044,-6.87530999910129
0.75,0.35,-0.261246006389777,-6.85133524955597
0.8,0.35,-0.235356762513312,-6.83951483641111
0.85,0.35,-0.211730795943881,-6.83874082152796
0.2,0.4,-1.16320553780618,-9.01051972330287
0.25,0.4,-0.917115472387038,-8.24626355863144
0.3,0.4,-0.752396166134185,-7.77512604146547
0.35,0.4,-0.63412306543297,-7.45972698922196
0.4,0.4,-0.544828274760384,-7.23731698097629
0.45,0.4,-0.47480160775018,-7.07520715146285
0.5,0.4,-0.418210862619808,-6.95474004557295
0.55,0.4,-0.371338147365469,-6.8645366396891
0.6,0.4,-0.331697854860794,-6.79730925944825
0.65,0.4,-0.297561508424128,-6.74822314352667
0.7,0.4,-0.267685988133273,-6.71399657442123
0.75,0.4,-0.241150159744409,-6.6923806858429
0.8,0.4,-0.217252396166134,-6.68184713090263
0.85,0.4,-0.195443811640506,-6.68139612482043
0.2,0.45,-1.066271742989,-8.60646020643127
0.25,0.45,-0.840689183021451,-7.92802860794891
0.3,0.45,-0.689696485623003,-7.50748124493704
0.35,0.45,-0.581279476646889,-7.22497060334872
0.4,0.45,-0.499425918530352,-7.02529365381832
0.45,0.45,-0.435234807104332,-6.87952882726029
0.5,0.45,-0.383359957401491,-6.77110118788157
0.55,0.45,-0.34039330175168,-6.68987087567153
0.6,0.45,-0.304056366955728,-6.62932874032577
0.65,0.45,-0.272764716055451,-6.58514892614631
0.7,0.45,-0.245378822455499,-6.55439142656179
0.75,0.45,-0.221054313099042,-6.53503995438771
0.8,0.45,-0.199148029818956,-6.52572393477765
0.85,0.45,-0.17915682733713,-6.52554740562595
0.2,0.5,-0.969337948171815,-8.21546688027032
0.25,0.5,-0.764262893655865,-7.61794101151053
0.3,0.5,-0.626996805111822,-7.24555060982731
0.35,0.5,-0.528435887860808,-6.99454145766247
0.4,0.5,-0.45402356230032,-6.81672993206351
0.45,0.5,-0.395668006458484,-6.68673101652831
0.5,0.5,-0.348509052183174,-6.58993796088649
0.55,0.5,-0.309448456137891,-6.51738804313117
0.6,0.5,-0.276414879050662,-6.46331459147164
0.65,0.5,-0.247967923686774,-6.4238785644896
0.7,0.5,-0.223071656777727,-6.39646756298224
0.75,0.5,-0.200958466453674,-6.37928860197527
0.8,0.5,-0.181043663471779,-6.37112266368406
0.85,0.5,-0.162869843033755,-6.37117343005209
0.2,0.55,-0.872404153354633,-7.83691604141692
0.25,0.55,-0.687836604290278,-7.31569184469195
0.3,0.55,-0.564297124600639,-6.9891530746901
0.35,0.55,-0.475592299074727,-6.76832099944177
0.4,0.55,-0.408621206070288,-6.61154182487472
0.45,0.55,-0.356101205812635,-6.49675057942121
0.5,0.55,-0.313658146964856,-6.41120063889294
0.55,0.55,-0.278503610524102,-6.34704747355744
0.6,0.55,-0.248773391145596,-6.29923248647191
0.65,0.55,-0.223171131318096,-6.26438229298787
0.7,0.55,-0.200764491099955,-6.24019855684247
0.75,0.55,-0.180862619808307,-6.2251026669366
0.8,0.55,-0.162939297124601,-6.21802117144893
0.85,0.55,-0.146582858730379,-6.21825336417229
0.2,0.6,-0.775470358537452,-7.47022306067253
0.25,0.6,-0.611410314924692,-7.02098760599877
0.3,0.6,-0.501597444089457,-6.73811514771842
0.35,0.6,-0.422748710288646,-6.54619496740183
0.4,0.6,-0.363218849840256,-6.40964803838158
0.45,0.6,-0.316534405166786,-6.30952620804578
0.5,0.6,-0.278807241746539,-6.23484081907422
0.55,0.6,-0.247558764910313,-6.17880950242318
0.6,0.6,-0.221131903240529,-6.13704889326014
0.65,0.6,-0.198374338949419,-6.10663099737548
0.7,0.6,-0.178457325422181,-6.08555853226037
0.75,0.6,-0.16076677316294,-6.07245866685961
0.8,0.6,-0.144834930777423,-6.06639773950306
0.85,0.6,-0.130295874427004,-6.06676676465271
0.2,0.65,-0.67853656372027,-7.11483937029446
0.25,0.65,-0.534984025559106,-6.73354926642776
0.3,0.65,-0.438897763578275,-6.49227051525599
0.35,0.65,-0.369905121502566,-6.328053199256
0.4,0.65,-0.317816493610224,-6.21096986829219
0.45,0.65,-0.276967604520938,-6.1249983604989
0.5,0.65,-0.243956336528222,-6.06081137777142
0.55,0.65,-0.216613919296524,-6.01263543839288
0.6,0.65,-0.193490415335463,-5.97673105127203
0.65,0.65,-0.173577546580742,-5.95059619697268
0.7,0.65,-0.156150159744408,-5.93252215002814
0.75,0.65,-0.140670926517572,-5.92133358666667
0.8,0.65,-0.126730564430245,-5.91623106661007
0.85,0.65,-0.114008890123628,-5.91669356964146
0.2,0.7,-0.581602768903089,-6.77024972576513
0.25,0.7,-0.458557736193519,-6.45311138828563
0.3,0.7,-0.376198083067093,-6.2514596743569
0.35,0.7,-0.317061532716485,-6.11378944954103
0.4,0.7,-0.272414137380192,-6.01543109759554
0.45,0.7,-0.23740080387509,-5.943109197735
0.5,0.7,-0.209105431309904,-5.88906642851438
0.55,0.7,-0.185669073682735,-5.84848753365744
0.6,0.7,-0.165848927430397,-5.81824694938398
0.65,0.7,-0.148780754212064,-5.79625002754368
0.7,0.7,-0.133842994066636,-5.78106459377051
0.75,0.7,-0.120575079872205,-5.77170486704639
0.8,0.7,-0.108626198083067,-5.76750025889035
0.85,0.7,-0.0977219058202524,-5.76801408991161
0.2,0.75,-0.484668974085908,-6.43596971333338
0.25,0.75,-0.382131446827933,-6.17942130761565
0.3,0.75,-0.313498402555911,-6.01552958768667
0.35,0.75,-0.264217943930404,-5.90330121707211
0.4,0.75,-0.22701178115016,-5.82295789907521
0.45,0.75,-0.197834003229242,-5.76380252312241
0.5,0.75,-0.174254526091587,-5.71956128168465
0.55,0.75,-0.154724228068946,-5.68632895534744
0.6,0.75,-0.13820743952533,-5.66156530460442
0.65,0.75,-0.123983961843387,-5.64356522470836
0.7,0.75,-0.111535828388863,-5.63116155652916
0.75,0.75,-0.100479233226837,-5.62355039322732
0.8,0.75,-0.0905218317358892,-5.6201848201297
0.85,0.75,-0.0814349215168774,-5.62070900024986
0.2,0.8,-0.387735179268726,-6.1115434779709
0.25,0.8,-0.305705157462346,-5.91223837493938
0.3,0.8,-0.250798722044728,-5.78433335919666
0.35,0.8,-0.211374355144323,-5.69648958143979
0.4,0.8,-0.181609424920128,-5.63347874237248
0.45,0.8,-0.158267202583393,-5.58702372455632
0.5,0.8,-0.139403620873269,-5.5522524057468
0.55,0.8,-0.123779382455156,-5.52612375797948
0.6,0.8,-0.110565951620265,-5.50665554148817
0.65,0.8,-0.0991871694747095,-5.49251510788673
0.7,0.8,-0.0892286627110904,-5.4827892277583
0.75,0.8,-0.0803833865814698,-5.47684848408182
0.8,0.8,-0.0724174653887112,-5.47426464236337
0.85,0.8,-0.0651479372135021,-5.47475933108287
0.2,0.85,-0.290801384451545,-5.79654164933356
0.25,0.85,-0.22927886809676,-5.65133324951745
0.3,0.85,-0.188099041533547,-5.55772992912662
0.35,0.85,-0.158530766358242,-5.49325904800022
0.4,0.85,-0.136207068690096,-5.44692430535301
0.45,0.85,-0.118700401937545,-5.41271971900279
0.5,0.85,-0.104552715654952,-5.38709738997666
0.55,0.85,-0.0928345368413675,-5.36783685689217
0.6,0.85,-0.0829244637151984,-5.35348777224498
0.65,0.85,-0.0743903771060324,-5.34307356475618
0.7,0.85,-0.066921497033318,-5.33592428071632
0.75,0.85,-0.0602875399361023,-5.33157788154892
0.8,0.85,-0.0543130990415336,-5.32971999672634
0.85,0.85,-0.0488609529101264,-5.33014646033374
